product_id,line,type,color,size,base_usid,label
5H2QX4ATI1DJ,Elite-Rx,Top,black,L,15464001789,Elite-Rx Top Black
1KRDDGWXKNNA,Elite-Rx,Top,gray,L,15464001789,Elite-Rx Top Gray
4ETHFRENRPHZ,Elite-Rx,Top,navy,L,15464001789,Elite-Rx Top Navy
1ZE76I256ORN,Elite-Rx,Top,pink,L,15464001789,Elite-Rx Top Pink
2HZGMGX9CH7B,Elite-Rx,Top,teal,L,15464001789,Elite-Rx Top Teal
13FORGOSKCZT,Elite-Rx,Bottom,black,L,15451212430,Elite-Rx Bottom Black
4D6E6Q26DR5Y,Elite-Rx,Bottom,gray,L,15451212430,Elite-Rx Bottom Gray
4Q0TKXQH68DU,Elite-Rx,Bottom,navy,L,15451212430,Elite-Rx Bottom Navy
27AYQ5GIHIZC,Elite-Rx,Bottom,pink,L,15451212430,Elite-Rx Bottom Pink
4RZH2TZIYXIC,Elite-Rx,Bottom,teal,L,15451212430,Elite-Rx Bottom Teal
6LWJFDBEY9VO,Pro Fit,Top,black,L,15478669576,Pro Fit Top Black
2BJPSI4E7G2O,Pro Fit,Top,cielblue,L,15478669576,Pro Fit Top Ciel Blue
1ZIJ3VQCTHCY,Pro Fit,Top,royalblue,L,15478669576,Pro Fit Top Royal Blue
2W23FS30IIX4,Pro Fit,Top,wine,L,15478669576,Pro Fit Top Wine
17IWT6UXSUNY,Pro Fit,Bottom,black,L,15422450120,Pro Fit Bottom Black
4RBAQAZ22QPK,Pro Fit,Bottom,cielblue,L,15422450120,Pro Fit Bottom Ciel Blue
50EDQAQZTZE9,Pro Fit,Bottom,royalblue,L,15422450120,Pro Fit Bottom Royal Blue
5DXCZPT4SHCX,Pro Fit,Bottom,wine,L,15422450120,Pro Fit Bottom Wine
