key,product_id,line,type,color,label
et_blk,5H2QX4ATI1DJ,Elite-Rx,Top,black,Elite-Rx Top (Black)
et_nvy,4ETHFRENRPHZ,Elite-Rx,Top,navy,Elite-Rx Top (Navy)
et_pnk,1ZE76I256ORN,Elite-Rx,Top,pink,Elite-Rx Top (Pink)
et_tea,2HZGMGX9CH7B,Elite-Rx,Top,teal,Elite-Rx Top (Teal)
eb_blk,13FORGOSKCZT,Elite-Rx,Bottom,black,Elite-Rx Bottom (Black)
eb_nvy,4Q0TKXQH68DU,Elite-Rx,Bottom,navy,Elite-Rx Bottom (Navy)
eb_tea,4RZH2TZIYXIC,Elite-Rx,Bottom,teal,Elite-Rx Bottom (Teal)
pt_blk,6LWJFDBEY9VO,Pro Fit,Top,black,Pro Fit Top (Black)
pt_roy,1ZIJ3VQCTHCY,Pro Fit,Top,royalblue,Pro Fit Top (Royal Blue)
pb_blk,17IWT6UXSUNY,Pro Fit,Bottom,black,Pro Fit Bottom (Black)
pb_roy,50EDQAQZTZE9,Pro Fit,Bottom,royalblue,Pro Fit Bottom (Royal Blue)
