state,stores,carrying_any
AK,7,1
AL,130,33
AR,115,22
AZ,112,8
CA,272,32
CO,87,11
CT,31,4
DC,2,0
DE,9,2
FL,346,57
GA,184,36
HI,8,1
IA,60,19
ID,26,3
IL,152,38
IN,111,25
KS,73,16
KY,91,29
LA,123,18
MA,48,6
MD,46,8
ME,21,6
MI,93,19
MN,66,9
MO,137,33
MS,78,26
MT,14,5
NC,192,27
ND,14,5
NE,42,10
NH,26,5
NJ,62,7
NM,45,9
NV,43,9
NY,99,21
OH,142,34
OK,121,19
OR,43,7
PA,135,20
PR,18,2
RI,9,0
SC,109,15
SD,15,6
TN,136,38
TX,509,88
UT,52,4
VA,133,22
VT,6,0
WA,63,8
WI,87,21
WV,38,6
WY,11,4
